FieldSub(class_name='android.window.BackNavigationInfo', name='mIsPrepareRemoteAnimation')
FieldSub(class_name='android.window.BackNavigationInfo$Builder', name='mPrepareAnimation')
FieldSub(class_name='android.window.ClientWindowFrames', name='attachedFrame')
FieldSub(class_name='android.window.ClientWindowFrames', name='sizeCompatScale')
FieldSub(class_name='android.window.ITaskFragmentOrganizer$Stub', name='TRANSACTION_onTransactionReady')
FieldSub(class_name='android.window.ITaskFragmentOrganizerController$Stub', name='TRANSACTION_applyTransaction')
FieldSub(class_name='android.window.ITaskFragmentOrganizerController$Stub', name='TRANSACTION_onTransactionHandled')
FieldSub(class_name='android.window.PictureInPictureSurfaceTransaction', name='mShouldDisableCanAffectSystemUiFlags')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_OP_TYPE')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_TASK_FRAGMENT_INFO')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_THROWABLE')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='mTaskIdToConfigurations')
