FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_32000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_8000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_ADAPTIVE')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_TWSP')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_CELT')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV1')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV2')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV3')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV5')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_QVA_CODEC_TYPE_MAX')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='TAG')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='mEncoderFormat')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='ACTION_REMOTE_ISSUE_OCCURRED')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='ACTION_TWS_PLUS_DEVICE_PAIR')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='CODEC_STATUS_ON')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_BQR')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ERROR_CODE')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ERROR_EVENT_MASK')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_GLITCH_COUNT')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_GROUP_ID')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ISSUE_TYPE')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_IS_PRIVATE_ADDRESS')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LINK_QUALITY')
